                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1513,                 0.9123,                 1.2403,                0.66867,                0.45497,                0.50761,                0.40653,                0.22817,                 4.1061,                0.23449,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.1491,                0.91345,                 1.2352,                0.67161,                0.45464,                0.50981,                0.40868,                0.22804,                 4.0967,                0.23444,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.1462,                0.91171,                 1.2348,                0.67563,                0.45449,                0.51309,                0.41094,                0.22786,                 4.0382,                0.23434,               0.009307,               0.009307,               0.009307
                     38,                 1.1448,                0.90698,                 1.2331,                0.67526,                0.45419,                0.51408,                0.41262,                0.22761,                 3.9801,                0.23419,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.1482,                0.90281,                  1.235,                0.67304,                0.45423,                 0.5139,                0.41302,                0.22745,                 3.9712,                0.23409,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.1454,                0.90416,                 1.2309,                0.68193,                0.45433,                0.51712,                0.41563,                0.22735,                 3.9408,                0.23402,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.1442,                0.90253,                 1.2292,                0.68771,                0.45395,                0.51696,                0.41627,                0.22728,                 3.9638,                0.23395,              0.0092278,              0.0092278,              0.0092278
                     42,                  1.136,                0.90122,                 1.2287,                0.69558,                0.45395,                0.51915,                0.41797,                0.22711,                  3.974,                0.23387,               0.009208,               0.009208,               0.009208
                     43,                 1.1339,                0.89554,                 1.2249,                0.69151,                0.45422,                0.51868,                0.41792,                0.22695,                 3.9545,                0.23372,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.1383,                0.89655,                 1.2287,                0.70162,                0.45411,                  0.522,                0.42117,                0.22659,                 3.9002,                0.23347,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.1391,                0.89647,                 1.2288,                0.70332,                0.45422,                0.52389,                0.42215,                0.22635,                 3.8431,                0.23332,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.1375,                0.89258,                 1.2284,                0.70322,                0.45435,                0.52461,                0.42244,                0.22601,                 3.8294,                0.23318,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.1399,                0.89669,                 1.2263,                 0.6988,                 0.4546,                0.52632,                 0.4236,                0.22594,                 3.7456,                0.23312,               0.009109,               0.009109,               0.009109
                     48,                 1.1326,                0.88635,                 1.2211,                 0.7003,                0.45512,                0.52807,                0.42598,                0.22579,                  3.734,                0.23305,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.1339,                0.88689,                  1.223,                0.70657,                0.45473,                0.52786,                0.42561,                0.22557,                 3.7329,                0.23291,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.1314,                0.88644,                 1.2221,                0.71074,                0.45459,                0.52761,                0.42572,                0.22557,                 3.7648,                0.23289,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.1273,                0.88269,                 1.2179,                0.72018,                0.45477,                0.52879,                0.42659,                0.22557,                 3.7835,                 0.2329,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.1279,                0.88134,                 1.2172,                0.72487,                0.45494,                0.53236,                0.42964,                0.22553,                 3.7573,                0.23276,                0.00901,                0.00901,                0.00901
                     53,                 1.1347,                0.88145,                 1.2182,                0.72276,                0.45482,                0.53246,                0.42962,                0.22549,                 3.7327,                0.23264,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.1291,                0.88312,                 1.2191,                0.72334,                0.45488,                0.53443,                0.43139,                0.22541,                 3.7459,                0.23254,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.1279,                0.87697,                 1.2196,                0.72752,                0.45512,                 0.5337,                0.43095,                0.22549,                 3.7687,                0.23253,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.1318,                0.87727,                 1.2179,                0.73008,                 0.4544,                0.53519,                 0.4325,                0.22557,                 3.7937,                 0.2325,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.1239,                 0.8771,                 1.2154,                0.73044,                0.45381,                0.53405,                0.43097,                0.22538,                 3.8025,                0.23235,               0.008911,               0.008911,               0.008911
                     58,                  1.128,                0.87845,                 1.2192,                0.73144,                0.45346,                0.53411,                0.43129,                 0.2252,                  3.803,                0.23226,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.1287,                0.87442,                 1.2201,                 0.7233,                0.45472,                0.53381,                0.43099,                0.22513,                 3.7946,                0.23219,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.1235,                0.86872,                 1.2126,                0.71912,                0.45486,                0.53549,                0.43349,                 0.2249,                 3.8107,                0.23207,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.1215,                0.87366,                 1.2151,                0.72071,                 0.4551,                0.53569,                0.43373,                0.22489,                 3.8172,                0.23205,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.1249,                0.87192,                 1.2156,                0.71903,                0.45532,                0.53448,                0.43219,                0.22472,                 3.8462,                0.23199,               0.008812,               0.008812,               0.008812
                     63,                 1.1215,                0.86877,                  1.214,                0.71711,                0.45535,                0.53387,                0.43205,                0.22448,                 3.8578,                0.23193,              0.0087922,              0.0087922,              0.0087922
